 ,Mean(Background),Mean(Cell1),Mean(Cell2),Mean(Cell3),Mean(Cell4),Mean(Cell5),Mean(Cell6),Mean(Cell7),Mean(Cell8),Mean(Cell9),Mean(Cell10),Mean(Cell11),Mean(Cell12)
1,124.535,673.219,599.386,742.468,636.363,514.306,822.093,664.771,718.765,533.950,424.582,524.586,660.161
2,159.955,1511.406,1335.977,1695.174,1417.147,1129.722,1875.866,1493.599,1617.549,1182.297,905.943,1145.229,1494.656
3,159.569,1501.729,1339.648,1699.080,1409.196,1124.083,1857.093,1485.422,1601.480,1181.025,902.139,1138.600,1498.785
4,159.184,1491.812,1337.784,1697.629,1403.010,1114.139,1852.474,1474.068,1581.304,1180.467,898.393,1132.186,1507.059
5,159.265,1480.104,1341.841,1697.615,1403.745,1113.722,1845.237,1463.896,1556.647,1179.337,895.131,1120.614,1513.726
6,159.129,1481.177,1343.068,1702.398,1400.814,1111.764,1837.495,1457.453,1543.088,1176.128,893.053,1117.057,1518.371
7,159.053,1478.885,1339.511,1701.776,1393.980,1105.722,1827.948,1448.161,1520.598,1175.994,888.729,1111.207,1523.081
8,158.935,1480.469,1340.580,1699.823,1396.520,1110.625,1833.134,1443.495,1510.333,1173.025,884.340,1109.979,1530.930
9,158.858,1475.365,1336.773,1703.017,1398.088,1127.153,1821.742,1434.146,1488.755,1160.854,883.238,1106.264,1525.043
10,159.067,1482.417,1339.420,1697.445,1394.892,1139.681,1827.979,1433.266,1487.882,1154.504,881.197,1108.114,1519.688
11,158.649,1483.500,1328.909,1697.893,1394.804,1148.806,1829.144,1429.078,1480.784,1155.280,879.533,1108.436,1518.156
12,158.375,1477.510,1331.659,1700.027,1397.049,1154.375,1823.206,1433.615,1475.314,1155.536,877.119,1108.621,1518.301
13,158.547,1477.344,1331.102,1697.321,1394.686,1150.750,1825.134,1434.781,1473.814,1155.274,875.086,1112.057,1511.731
14,158.920,1480.385,1332.443,1692.562,1397.039,1146.000,1832.412,1440.411,1477.853,1146.676,876.373,1120.193,1503.253
15,158.582,1482.094,1328.920,1689.472,1395.225,1141.319,1840.495,1442.859,1485.833,1142.573,877.902,1128.929,1497.608
16,158.680,1488.938,1322.761,1687.729,1394.343,1128.333,1848.289,1447.500,1490.314,1142.138,879.463,1136.143,1492.430
17,158.125,1485.719,1320.750,1687.100,1390.284,1125.181,1847.917,1451.323,1493.049,1145.082,876.291,1135.114,1491.296
18,158.109,1487.865,1318.409,1683.391,1381.314,1113.528,1843.361,1454.484,1491.480,1153.314,875.615,1132.271,1499.301
19,158.885,1492.312,1315.443,1687.438,1383.804,1102.958,1854.350,1461.109,1493.765,1162.860,876.320,1130.814,1507.554
20,157.218,1461.583,1274.227,1696.846,1408.941,1103.264,1836.917,1459.703,1394.853,1192.203,871.672,1150.593,1506.543
21,158.084,1455.125,1335.636,1697.328,1417.059,1126.278,1806.701,1438.260,1467.265,1140.569,871.951,1118.364,1482.979
22,164.864,1443.385,1336.045,1707.064,1436.627,1136.986,1802.536,1433.766,1457.402,1151.222,880.225,1126.057,1494.581
23,157.655,1423.510,1319.318,1708.030,1441.363,1135.486,1789.165,1427.688,1432.323,1149.787,882.566,1129.200,1483.677
24,157.740,1419.385,1313.420,1722.261,1441.716,1141.667,1787.381,1425.625,1411.980,1156.707,894.373,1131.371,1484.667
25,157.645,1418.354,1315.080,1733.518,1442.157,1156.361,1788.990,1434.177,1395.108,1164.446,909.094,1151.693,1482.505
26,157.733,1417.719,1315.398,1748.224,1440.510,1178.222,1782.536,1438.969,1375.902,1167.398,925.152,1161.121,1479.882
27,157.800,1407.021,1331.125,1780.000,1446.843,1216.347,1746.165,1445.594,1359.618,1173.353,937.336,1174.200,1484.349
28,157.538,1401.354,1333.466,1792.033,1447.725,1244.556,1719.072,1451.651,1337.284,1173.784,947.721,1186.507,1477.140
29,157.533,1398.479,1334.057,1802.512,1445.520,1270.000,1693.021,1452.438,1311.882,1177.387,958.324,1201.814,1473.699
30,157.715,1389.906,1337.273,1811.582,1440.745,1294.486,1679.320,1454.156,1295.735,1181.598,969.512,1213.936,1469.167
31,157.827,1396.917,1340.705,1811.288,1432.667,1312.569,1665.990,1459.656,1292.078,1185.778,977.426,1229.986,1461.930
32,157.447,1404.146,1343.898,1811.358,1425.284,1322.111,1659.309,1466.891,1294.382,1182.084,983.537,1250.286,1452.796
33,157.691,1415.750,1348.841,1815.157,1426.843,1327.833,1652.680,1470.786,1291.951,1182.889,991.348,1263.150,1447.726
34,158.053,1428.344,1356.966,1817.381,1426.892,1329.069,1654.763,1478.448,1292.392,1183.010,997.078,1275.243,1436.065
35,157.760,1428.510,1356.250,1821.127,1430.029,1332.944,1654.361,1485.635,1291.039,1182.868,1003.348,1285.657,1430.694
36,158.258,1435.271,1357.636,1824.468,1432.284,1333.819,1648.959,1490.302,1288.873,1184.567,1007.189,1291.500,1421.172
37,158.316,1429.635,1358.943,1832.468,1438.912,1340.403,1649.217,1492.339,1278.098,1190.759,1012.025,1297.964,1418.151
38,157.980,1417.688,1355.239,1838.191,1440.373,1347.208,1633.650,1490.396,1257.137,1193.042,1013.975,1303.107,1410.806
39,158.149,1420.135,1347.045,1845.816,1442.765,1350.833,1623.113,1492.490,1245.863,1200.094,1018.426,1317.443,1398.903
40,158.416,1414.323,1349.739,1849.421,1444.167,1343.750,1621.206,1493.500,1238.696,1203.372,1020.090,1325.043,1387.672
41,158.102,1410.844,1339.648,1857.896,1446.323,1340.278,1620.010,1494.875,1229.716,1206.347,1023.664,1334.064,1383.258
42,158.591,1408.052,1342.330,1860.515,1456.569,1336.069,1617.052,1499.276,1217.088,1213.908,1026.639,1334.636,1380.059
43,158.062,1395.677,1339.148,1868.652,1459.873,1330.778,1610.175,1497.656,1201.559,1225.247,1029.066,1339.607,1375.656
44,158.313,1391.833,1338.352,1876.980,1466.059,1330.264,1611.516,1504.495,1194.265,1235.071,1031.168,1339.357,1379.355
45,158.229,1392.479,1339.295,1880.876,1470.177,1322.375,1610.588,1506.839,1188.853,1239.910,1030.004,1343.693,1376.747
46,158.478,1385.458,1332.977,1887.582,1478.186,1319.875,1608.557,1510.630,1179.078,1245.423,1028.422,1346.793,1374.435
47,158.329,1384.875,1332.636,1893.043,1484.931,1318.958,1604.072,1511.620,1172.500,1245.688,1028.471,1346.536,1368.672
48,158.193,1387.740,1333.250,1895.244,1485.059,1313.222,1608.206,1513.865,1173.422,1243.132,1026.947,1349.736,1364.306
49,158.331,1384.375,1333.898,1902.251,1494.755,1319.847,1611.330,1516.203,1168.892,1242.184,1024.188,1346.357,1359.575
50,158.295,1390.698,1328.352,1900.732,1497.235,1313.306,1623.217,1520.594,1177.569,1243.923,1021.984,1354.150,1351.570
51,158.422,1396.312,1335.068,1901.859,1500.823,1308.111,1633.371,1520.266,1181.255,1243.111,1019.102,1358.657,1338.344
52,158.367,1397.781,1329.739,1908.057,1500.010,1298.250,1640.258,1522.432,1178.677,1247.427,1016.844,1360.893,1336.457
53,158.265,1395.812,1331.648,1913.656,1501.823,1297.042,1641.289,1526.589,1170.725,1252.034,1015.570,1359.036,1338.059
54,158.187,1392.167,1329.545,1924.351,1503.853,1294.417,1644.546,1528.302,1165.990,1251.379,1013.115,1351.500,1337.048
55,158.085,1391.292,1326.545,1932.538,1503.618,1292.417,1652.660,1531.984,1163.745,1249.628,1011.229,1350.914,1336.258
56,158.118,1392.458,1332.114,1936.087,1507.559,1289.736,1661.155,1534.964,1156.912,1250.653,1010.393,1348.500,1333.215
57,158.055,1386.656,1329.011,1945.344,1513.422,1285.917,1669.783,1539.484,1150.235,1251.222,1009.455,1347.936,1332.704
58,158.182,1388.229,1333.841,1954.478,1512.696,1287.389,1677.722,1538.839,1144.392,1256.236,1007.525,1347.700,1335.624
59,157.922,1389.500,1332.148,1961.605,1513.314,1287.125,1689.423,1540.062,1140.323,1252.759,1003.184,1351.571,1328.038
60,157.895,1388.469,1330.409,1969.043,1515.235,1284.750,1695.629,1541.917,1135.588,1255.264,1003.225,1351.936,1329.360
61,157.740,1390.073,1326.693,1973.866,1525.255,1277.625,1699.299,1540.422,1133.902,1256.960,999.434,1355.486,1328.323
62,158.075,1388.417,1329.318,1983.438,1521.559,1271.847,1701.856,1538.453,1129.569,1257.563,1000.627,1359.500,1326.591
63,158.027,1385.458,1330.500,1988.866,1520.794,1266.694,1709.309,1535.516,1127.725,1257.147,999.180,1359.493,1321.027
64,157.907,1390.365,1326.205,1992.221,1520.716,1262.347,1715.732,1533.750,1126.294,1259.266,996.947,1364.479,1315.925
65,157.885,1396.615,1329.568,1986.040,1516.941,1256.764,1726.464,1531.583,1131.980,1258.760,993.566,1371.614,1310.301
66,157.771,1400.781,1333.636,1980.043,1513.755,1249.917,1735.155,1536.188,1136.069,1255.059,990.238,1381.393,1300.253
67,158.167,1410.094,1334.307,1974.020,1511.157,1241.986,1738.196,1538.391,1136.353,1248.772,985.672,1381.721,1292.661
68,158.069,1407.448,1334.636,1975.177,1509.794,1238.875,1739.155,1534.938,1139.853,1247.402,980.373,1384.200,1288.613
69,158.269,1401.479,1336.125,1983.365,1513.745,1237.403,1736.495,1531.490,1133.578,1249.814,978.820,1382.250,1291.360
70,158.249,1397.396,1337.705,1988.087,1512.520,1240.389,1732.093,1533.807,1132.520,1250.705,978.041,1378.850,1289.581
71,157.920,1394.438,1334.807,1990.796,1515.471,1234.944,1736.732,1531.823,1129.216,1249.762,976.631,1378.750,1286.091
72,157.960,1390.490,1339.625,1997.759,1516.549,1234.083,1734.557,1528.995,1128.971,1249.284,974.385,1376.543,1287.317
73,157.711,1389.458,1336.534,2004.405,1515.784,1231.125,1732.711,1528.286,1126.392,1251.471,972.721,1377.643,1285.968
74,157.458,1389.115,1335.625,2006.221,1516.441,1229.167,1736.505,1525.724,1127.461,1248.741,969.250,1372.600,1282.973
75,157.573,1395.021,1334.432,2006.244,1517.206,1231.708,1735.371,1519.979,1129.853,1250.780,967.365,1371.807,1283.484
76,157.478,1396.312,1335.727,2008.458,1517.608,1226.403,1735.433,1514.714,1126.225,1253.753,964.906,1369.914,1286.876
77,157.635,1401.604,1333.170,2012.712,1517.039,1224.903,1735.742,1511.016,1130.314,1256.709,963.369,1368.200,1285.516
78,157.329,1398.083,1333.864,2012.552,1512.157,1223.889,1737.217,1504.792,1128.382,1257.592,960.049,1367.621,1282.457
79,157.487,1400.177,1336.557,2018.261,1509.990,1216.597,1733.825,1501.130,1124.608,1260.791,958.152,1364.214,1283.317
80,157.273,1405.844,1336.114,2014.599,1511.059,1212.097,1733.948,1502.370,1125.873,1261.176,954.984,1365.457,1282.473
81,157.709,1409.615,1339.455,2008.823,1513.167,1206.500,1734.340,1508.057,1129.696,1260.337,952.766,1368.836,1277.828
82,157.605,1414.708,1340.136,2002.926,1506.549,1206.486,1735.083,1510.984,1136.588,1257.004,950.631,1371.836,1271.360
83,157.413,1416.875,1342.966,1997.609,1506.823,1197.000,1729.959,1510.531,1133.216,1261.877,948.701,1371.457,1269.285
84,157.305,1410.417,1343.716,2008.545,1512.833,1198.639,1718.423,1512.557,1132.255,1263.851,947.582,1369.850,1268.398
85,157.382,1413.271,1348.659,2015.913,1515.990,1201.583,1717.856,1512.297,1129.892,1270.483,946.594,1368.486,1269.823
86,157.247,1409.688,1341.898,2021.646,1515.608,1195.792,1713.392,1511.677,1124.167,1273.747,944.389,1364.450,1268.796
87,157.756,1410.333,1343.114,2029.672,1512.510,1192.347,1704.948,1509.260,1123.343,1279.368,944.434,1358.971,1268.188
88,157.455,1408.656,1345.977,2037.646,1517.108,1191.417,1703.010,1504.406,1121.235,1280.762,942.410,1357.157,1267.591
89,157.313,1408.146,1345.886,2045.184,1518.127,1190.028,1702.907,1501.036,1115.157,1278.220,940.430,1356.814,1263.457
90,157.258,1410.865,1346.591,2051.706,1520.451,1187.167,1706.289,1498.766,1112.765,1278.326,939.123,1351.193,1258.763
91,157.335,1412.521,1346.841,2056.682,1522.392,1181.958,1704.474,1497.714,1115.196,1279.922,939.402,1349.079,1259.258
92,157.256,1416.760,1346.307,2066.722,1526.029,1179.986,1701.928,1495.396,1114.373,1278.822,936.082,1343.571,1263.215
93,157.256,1420.073,1343.500,2066.451,1520.225,1177.986,1698.340,1495.521,1117.922,1280.916,934.352,1341.650,1255.839
94,157.335,1422.594,1342.080,2056.468,1520.422,1170.889,1709.361,1499.578,1125.490,1279.422,932.680,1348.450,1250.914
95,157.205,1423.656,1341.148,2048.726,1515.255,1157.917,1706.516,1502.745,1129.578,1275.341,928.410,1351.271,1239.613
96,157.496,1431.583,1335.148,2039.699,1513.578,1151.264,1705.711,1507.589,1132.882,1271.751,926.238,1352.200,1234.860
97,157.242,1432.323,1337.830,2041.599,1510.931,1147.236,1705.237,1507.865,1135.108,1271.142,926.135,1348.593,1229.769
98,157.345,1427.844,1338.057,2041.876,1508.382,1144.181,1699.144,1503.062,1132.667,1269.730,926.328,1339.457,1228.323
99,157.158,1428.875,1339.261,2049.886,1509.000,1144.014,1690.711,1503.141,1131.873,1271.310,926.201,1332.886,1233.016
100,157.031,1427.000,1334.648,2048.917,1507.588,1138.556,1689.660,1498.432,1130.853,1274.153,928.410,1321.064,1232.376
101,157.185,1430.406,1334.148,2056.923,1501.833,1137.222,1684.959,1497.943,1129.637,1277.998,931.729,1316.829,1234.839
102,157.098,1434.781,1334.705,2059.732,1502.784,1131.917,1686.526,1497.354,1130.206,1278.818,932.623,1313.393,1233.661
103,157.193,1434.990,1333.864,2061.174,1500.206,1125.472,1685.258,1496.229,1131.196,1282.766,934.389,1314.286,1231.828
104,157.133,1434.052,1336.670,2068.625,1499.765,1124.486,1684.309,1498.177,1124.078,1282.347,935.545,1310.229,1228.731
105,156.925,1431.938,1336.034,2073.860,1497.392,1118.569,1683.206,1497.375,1121.961,1284.586,938.184,1308.943,1226.016
106,157.220,1434.510,1339.545,2079.977,1500.529,1116.931,1680.392,1496.750,1121.294,1284.843,937.693,1310.250,1222.430
107,156.927,1435.792,1336.852,2083.585,1497.794,1110.333,1675.577,1497.344,1121.745,1291.065,938.193,1308.357,1219.274
108,157.291,1438.552,1337.545,2090.254,1497.892,1111.069,1672.155,1498.052,1118.471,1291.697,938.328,1306.686,1217.333
109,157.102,1433.635,1341.602,2092.927,1492.833,1104.153,1670.402,1497.536,1115.000,1295.538,935.299,1304.329,1214.952
110,157.356,1437.667,1341.625,2099.057,1494.392,1101.847,1670.175,1498.797,1115.186,1298.713,933.963,1304.000,1216.640
111,157.062,1441.531,1341.920,2098.207,1494.657,1096.417,1675.258,1503.906,1115.863,1301.966,934.643,1305.300,1214.312
112,157.111,1447.458,1333.477,2086.110,1494.206,1089.264,1680.278,1509.031,1121.088,1302.431,931.176,1307.314,1209.366
113,157.104,1454.781,1329.898,2076.418,1489.216,1081.917,1683.732,1512.078,1124.833,1300.412,928.771,1311.164,1200.054
114,157.389,1462.052,1326.943,2067.886,1483.627,1075.514,1691.227,1511.776,1130.088,1297.973,925.332,1314.850,1195.839
115,157.384,1466.771,1328.148,2060.161,1482.941,1068.181,1696.711,1516.969,1136.833,1296.065,922.750,1316.350,1191.306
116,157.722,1469.208,1323.909,2063.917,1481.108,1068.306,1690.680,1519.526,1133.304,1298.596,922.184,1312.064,1189.608
117,157.080,1469.969,1324.909,2071.679,1479.098,1061.042,1684.155,1516.646,1130.765,1302.692,921.459,1312.371,1191.204
118,157.085,1471.667,1328.170,2080.204,1479.363,1063.500,1680.258,1515.370,1130.618,1303.872,921.197,1310.264,1184.995
119,157.318,1478.677,1336.386,2086.870,1475.765,1060.903,1676.722,1512.938,1125.588,1303.586,921.254,1310.457,1186.151
120,157.009,1475.125,1338.875,2090.612,1473.206,1060.625,1674.278,1508.021,1121.500,1299.686,920.148,1306.443,1188.204
121,157.178,1478.198,1341.602,2094.381,1472.618,1056.306,1675.546,1506.516,1118.127,1298.630,915.984,1307.071,1187.043
122,156.918,1478.240,1340.534,2099.866,1469.020,1053.861,1672.041,1505.667,1110.716,1298.420,914.660,1299.079,1190.656
123,157.125,1479.365,1344.295,2102.415,1465.078,1050.611,1667.443,1507.370,1109.127,1300.107,910.836,1295.050,1191.435
124,157.085,1480.771,1350.432,2107.334,1463.323,1052.472,1664.412,1504.406,1107.069,1297.406,908.627,1292.093,1195.188
125,156.960,1486.719,1349.000,2108.866,1463.167,1052.708,1666.454,1507.130,1103.892,1294.891,907.320,1287.007,1196.102
126,156.835,1490.229,1349.966,2111.860,1461.010,1048.347,1665.825,1510.010,1099.353,1299.822,906.242,1286.943,1197.796
127,156.767,1489.823,1348.295,2112.248,1459.598,1044.431,1662.278,1508.885,1103.441,1302.278,904.381,1284.279,1203.532
128,156.856,1494.708,1336.830,2101.488,1456.412,1041.222,1668.701,1514.964,1105.863,1302.743,902.684,1284.529,1204.027
129,156.938,1503.635,1326.989,2092.150,1457.147,1033.861,1674.907,1520.135,1108.833,1299.444,902.508,1290.207,1198.909
130,156.702,1508.156,1322.409,2084.525,1451.353,1030.931,1683.124,1526.578,1113.373,1298.015,901.697,1295.993,1198.720
131,156.829,1508.708,1319.818,2091.856,1452.961,1027.944,1683.041,1522.818,1108.755,1300.132,898.959,1286.243,1200.758
132,156.593,1506.677,1322.716,2096.017,1452.069,1029.125,1681.711,1522.281,1102.323,1299.726,899.799,1284.000,1202.559
133,156.693,1502.740,1328.989,2103.221,1453.353,1029.764,1679.990,1522.120,1098.245,1300.923,901.422,1280.657,1206.333
134,156.705,1497.812,1334.432,2110.271,1448.588,1029.236,1676.474,1521.281,1091.696,1302.943,899.475,1273.514,1213.194
135,156.435,1496.073,1335.955,2113.545,1449.804,1023.375,1675.742,1518.885,1089.775,1305.843,899.521,1274.457,1215.392
136,156.593,1498.927,1339.239,2119.528,1454.510,1022.875,1675.794,1518.969,1084.294,1309.707,900.824,1273.457,1219.021
137,156.547,1499.573,1343.636,2122.876,1454.784,1021.431,1676.144,1521.375,1084.765,1313.785,901.340,1271.171,1221.500
138,156.467,1505.573,1341.148,2122.826,1451.186,1022.167,1673.371,1522.974,1080.941,1317.061,900.307,1271.550,1219.780
